24,19
48,5
16,17
9,6
31,20
17,11
3,29
12,26
45,29
50,12
41,21
19,27
29,2
50,2
5,22
26,15
11,19
23,21
40,4
28,24
22,4
27,2
3,2
24,7
18,14
3,24
1,6
24,27
31,12
49,29
5,22
1,18
0,24
22,19
11,10
48,25
35,28
10,13
20,8
14,28
41,26
42,26
39,25
27,12
23,20
17,12
46,11
1,29
12,27
0,17
9,30
12,10
36,24
5,12
34,17
6,8
27,29
22,10
2,29
45,10
9,20
39,13
15,7
21,22
30,1
22,18
6,26
49,5
47,26
2,9
47,15
30,26
21,6
31,2
13,6
39,1
36,23
37,25
45,20
25,4
2,28
23,5
13,9
20,22
15,22
8,17
49,22
28,29
1,24
33,23
46,25
26,13
15,7
18,15
20,9
24,29
10,20
37,12
46,22
16,24
47,14
17,21
17,9
42,3
12,19
30,18
15,13
1,3
16,19
3,16
34,16
44,6
33,24
35,3
23,26
11,16
27,2
47,16
26,2
18,7
14,5
35,21
24,23
31,8
10,29
7,2
49,3
1,17
4,24
11,1
32,11
3,3
6,10
37,27
19,24
34,16
34,20
4,30
13,21
17,9
13,16
3,20
32,4
12,19
16,28
22,21
40,16
22,19
24,10
22,16
19,15
35,25
13,6
39,23
8,26
6,21
38,29
0,14
18,29
29,13
9,3
1,23
21,4
21,1
22,15
12,1
15,24
36,24
36,15
40,6
6,22
21,2
13,17
20,22
9,26
22,27
50,10
37,12
31,4
41,17
6,26
13,21
32,20
29,20
12,2
9,22
48,11
11,25
26,26
47,29
0,1
46,11
24,18
45,7
47,3
8,20
16,18
37,11
9,19
20,1
35,14
18,29
22,16
16,10
37,19
19,30
16,18
12,1
25,27
6,30
5,12
3,28
34,8
47,7
23,25
36,23
4,6
11,16
5,14
42,9
41,15
22,9
36,10
27,16
11,17
1,13
44,16
50,14
8,6
39,10
