28,7
2,7
36,9
20,8
22,18
36,10
20,26
12,5
44,3
9,9
4,22
37,22
1,19
40,3
39,3
4,19
29,16
3,7
44,10
41,17
50,2
19,12
46,26
37,10
5,3
2,21
9,11
41,11
22,2
33,15
31,24
50,27
12,27
0,19
28,24
36,1
6,4
38,21
38,23
16,20
4,12
19,28
18,8
32,22
1,27
37,29
17,14
33,25
20,30
15,8
44,6
39,3
46,11
44,15
29,11
25,17
41,5
7,2
6,22
1,29
27,7
11,23
34,26
28,2
33,22
21,30
12,7
15,15
0,11
19,19
48,2
41,10
27,5
43,26
14,29
45,6
19,7
20,6
15,20
36,23
50,6
15,18
39,22
12,17
36,26
9,22
26,21
17,26
28,20
34,17
21,28
9,25
3,7
1,21
16,17
2,25
28,26
47,30
13,27
5,15
39,23
16,10
36,18
7,18
19,22
42,2
19,6
26,2
1,20
39,6
32,19
12,21
34,15
31,27
41,2
43,1
19,25
28,2
40,24
49,22
25,18
9,6
1,14
44,17
25,28
38,8
45,17
9,26
32,10
41,1
11,21
17,15
11,23
44,1
24,27
35,6
45,30
7,15
0,24
17,23
7,20
0,4
8,7
31,23
33,3
47,1
